HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
,0,0,,,94U Homestay,Thanh Khe,Vietnam,"Vietnam,Da Nang,Thanh Khe",,,0,,0,,0,,Thanh Khe,,0,https://www.tripadvisor.com/Hotel_Review-g21402535-d23438231-Reviews-94U_Homestay-Thanh_Khe_Da_Nang.html
"LO 284 Nguyen Co Thach, Hoa Hai, Da Nang Vietnam",185,48,,,Seaview Homestay - Ngu Hanh Son,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai","Which popular attractions are close to Seaview Homestay - Ngu Hanh Son?, ,What are some restaurants close to Seaview Homestay - Ngu Hanh Son?, ",,0,,0,,1291,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d21346167-Reviews-Seaview_Homestay_Ngu_Hanh_Son-Hoa_Hai_Da_Nang.html
,0,0,,,Luxury Yacht Villa,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai",,,0,,0,,0,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d21228657-Reviews-Luxury_Yacht_Villa-Hoa_Hai_Da_Nang.html
"255 Le Van Hi_n, Hoa Hai, Da Nang Vietnam",169,47,,,The Shine Hotel Da Nang,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai","Which popular attractions are close to The Shine Hotel Da Nang?, ,What are some restaurants close to The Shine Hotel Da Nang?, ",,0,,0,,1202,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d23526773-Reviews-The_Shine_Hotel_Da_Nang-Hoa_Hai_Da_Nang.html
,0,0,,,Luxury Beach Villas,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai",,,0,,0,,0,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d21397437-Reviews-Luxury_Beach_Villas-Hoa_Hai_Da_Nang.html
"Truong Sa Street, Hoa Hai, Da Nang Vietnam",0,0,,,Luxury Beach View Villa,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai","What are some restaurants close to Luxury Beach View Villa?, ",,0,,0,,0,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d21144559-Reviews-Luxury_Beach_View_Villa-Hoa_Hai_Da_Nang.html
,0,0,,,OYO 1064 Phat Tai Hotel And Apartment,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai",,,0,,0,,0,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d21103110-Reviews-OYO_1064_Phat_Tai_Hotel_And_Apartment-Hoa_Hai_Da_Nang.html
,0,0,,,Kim Anh Apartment,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai",,,0,,0,,0,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d23522610-Reviews-Kim_Anh_Apartment-Hoa_Hai_Da_Nang.html
"Truong Sa Street, Hoa Hai, Da Nang Vietnam",0,0,,,Wonderful Coastal Villa,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai","What are some restaurants close to Wonderful Coastal Villa?, ",,0,,0,,0,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d21165101-Reviews-Wonderful_Coastal_Villa-Hoa_Hai_Da_Nang.html
,0,0,,,Royal Villas Beach Resort,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai",,,0,,0,,0,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d21372845-Reviews-Royal_Villas_Beach_Resort-Hoa_Hai_Da_Nang.html
"86 Phan Van Dinh 86/1, Lien Chieu, Da Nang Vietnam",0,0,,,Khach san AKI2,Lien Chieu,Vietnam,"Vietnam,Da Nang,Lien Chieu","Which popular attractions are close to Khach san AKI2?, ,What are some restaurants close to Khach san AKI2?, ",,0,,0,,0,,Lien Chieu,,0,https://www.tripadvisor.com/Hotel_Review-g16740551-d21378183-Reviews-Khach_san_AKI2-Lien_Chieu_Da_Nang.html
,0,0,,,SPOT ON 985 Nha Nghi 37,Lien Chieu,Vietnam,"Vietnam,Da Nang,Lien Chieu",,,0,,0,,0,,Lien Chieu,,0,https://www.tripadvisor.com/Hotel_Review-g16740551-d23239970-Reviews-SPOT_ON_985_Nha_Nghi_37-Lien_Chieu_Da_Nang.html
,0,0,,,Zoneland Premium- The Ocean-Point Villa,Hoa Hai,Vietnam,"Vietnam,Da Nang,Hoa Hai",,,0,,0,3.5 of 5 bubbles,0,,Hoa Hai,,0,https://www.tripadvisor.com/Hotel_Review-g20045940-d23155585-Reviews-Zoneland_Premium_The_Ocean_Point_Villa-Hoa_Hai_Da_Nang.html
"61 Tran Dinh Tri 61, Lien Chieu, Da Nang Vietnam",0,0,,,Nha Nghi Hoang Lan,Lien Chieu,Vietnam,"Vietnam,Da Nang,Lien Chieu","Which popular attractions are close to Nha Nghi Hoang Lan?, ,What are some restaurants close to Nha Nghi Hoang Lan?, ",,0,,0,,0,,Lien Chieu,,0,https://www.tripadvisor.com/Hotel_Review-g16740551-d17673476-Reviews-Nha_Nghi_Hoang_Lan-Lien_Chieu_Da_Nang.html
"50 Phan Ton, My An, Da Nang Vietnam",6,78,,,Majestic Hotel Apartments,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Majestic Hotel Apartments?, ,What are some restaurants close to Majestic Hotel Apartments?, ",,0,,0,,155,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21165656-Reviews-Majestic_Hotel_Apartments-My_An_Da_Nang.html
,0,0,,,OYO 1051 Binh Duong Apartment,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,12,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21286736-Reviews-OYO_1051_Binh_Duong_Apartment-My_An_Da_Nang.html
"33 Duong Thanh T_nh, Lien Chieu, Da Nang Vietnam",0,0,,,OYO 978 My Linh Motel,Lien Chieu,Vietnam,"Vietnam,Da Nang,Lien Chieu","Which popular attractions are close to OYO 978 My Linh Motel?, ,What are some restaurants close to OYO 978 My Linh Motel?, ",,0,,0,,0,,Lien Chieu,,0,https://www.tripadvisor.com/Hotel_Review-g16740551-d21044775-Reviews-OYO_978_My_Linh_Motel-Lien_Chieu_Da_Nang.html
"44 Tran Khanh Du, My An, Da Nang 550000 Vietnam",2,78,,,La Maison De Ruby Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to La Maison De Ruby Apartment?, ,What are some restaurants close to La Maison De Ruby Apartment?, ",,0,,0,,89,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21409865-Reviews-La_Maison_De_Ruby_Apartment-My_An_Da_Nang.html
"B2-16-18, Phuong Hoa Hiep Nam Thanh Pho, Lien Chieu, Da Nang 550000 Vietnam",0,0,,,OYO 988 Quynh Anh Motel,Lien Chieu,Vietnam,"Vietnam,Da Nang,Lien Chieu","Which popular attractions are close to OYO 988 Quynh Anh Motel?, ,What are some restaurants close to OYO 988 Quynh Anh Motel?, ",,0,,0,,0,,9,,0,https://www.tripadvisor.com/Hotel_Review-g16740551-d21289788-Reviews-OYO_988_Quynh_Anh_Motel-Lien_Chieu_Da_Nang.html
"20 An Thuong 3, My An, Da Nang Vietnam",9,78,,,Phamily Residence,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Phamily Residence?, ,What are some restaurants close to Phamily Residence?, ",,0,,0,,156,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21377634-Reviews-Phamily_Residence-My_An_Da_Nang.html
"270 Vo Nguyen Giap, My An, Da Nang Vietnam",5,66,,,Muong Thanh Luxury Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Muong Thanh Luxury Apartment?, ,What are some restaurants close to Muong Thanh Luxury Apartment?, ",,0,,0,,27,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21013189-Reviews-Muong_Thanh_Luxury_Apartment-My_An_Da_Nang.html
"10-12 Phan Ton, My An, Da Nang Vietnam",7,78,,,Capella Danang Hotel,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Capella Danang Hotel?, ,What are some restaurants close to Capella Danang Hotel?, ",,1 review,#3 of 4 hotels in My An,5,,133,Excellent,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21132272-Reviews-Capella_Danang_Hotel-My_An_Da_Nang.html
"10 An Thuong 36, My An, Da Nang 550000 Vietnam",5,78,,,Adela Hotel,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Adela Hotel?, ,What are some restaurants close to Adela Hotel?, ",,0,,0,,134,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21370088-Reviews-Adela_Hotel-My_An_Da_Nang.html
,0,0,,,7S Hotel North East,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d22131098-Reviews-7S_Hotel_North_East-My_An_Da_Nang.html
"270 Vo Nguyen Giap, My An, Da Nang Vietnam",4,84,,,Apartment Sea View Da Nang,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Apartment Sea View Da Nang?, ,What are some restaurants close to Apartment Sea View Da Nang?, ",,0,,0,,94,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d22843685-Reviews-Apartment_Sea_View_Da_Nang-My_An_Da_Nang.html
"134 Le Quang Dao, My An, Da Nang Vietnam",5,80,,,MK Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to MK Apartment?, ,What are some restaurants close to MK Apartment?, ",,0,,0,,11,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d17722576-Reviews-MK_Apartment-My_An_Da_Nang.html
"D7 An Thuong 34, My An, Da Nang Vietnam",7,78,,,Ocean Hotel & Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Ocean Hotel & Apartment?, ,What are some restaurants close to Ocean Hotel & Apartment?, ",,0,,0,,164,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21121066-Reviews-Ocean_Hotel_Apartment-My_An_Da_Nang.html
"16 My Da Dong 5, My An, Da Nang Vietnam",5,71,,,Nhat Linh Homestay & Coffee - Da Nang,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Nhat Linh Homestay & Coffee - Da Nang?, ,What are some restaurants close to Nhat Linh Homestay & Coffee - Da Nang?, ",,0,,0,,28,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21415234-Reviews-Nhat_Linh_Homestay_Coffee_Da_Nang-My_An_Da_Nang.html
,0,0,,,Calina Hotel,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d20954944-Reviews-Calina_Hotel-My_An_Da_Nang.html
"31 Phan Liem, My An, Da Nang Vietnam",5,84,,,Sharon Apartment and Spa Da Nang,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Sharon Apartment and Spa Da Nang?, ,What are some restaurants close to Sharon Apartment and Spa Da Nang?, ",,0,,0,,97,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21333558-Reviews-Sharon_Apartment_and_Spa_Da_Nang-My_An_Da_Nang.html
,0,0,,,Bella Apartment My Khe Beach Da Nang,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,2.0 of 5 bubbles,0,,17,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d20969632-Reviews-Bella_Apartment_My_Khe_Beach_Da_Nang-My_An_Da_Nang.html
"09 Ngo Thi Si, My An, Da Nang Vietnam",3,77,,,TV's Da Nang Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to TV's Da Nang Apartment?, ,What are some restaurants close to TV's Da Nang Apartment?, ",,0,,0,,93,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21398791-Reviews-TV_s_Da_Nang_Apartment-My_An_Da_Nang.html
"01, An Thuong 30, My An, Da Nang Vietnam",8,78,,,La Maison de Anh,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to La Maison de Anh?, ,What are some restaurants close to La Maison de Anh?, ",,0,,0,,151,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d23222897-Reviews-La_Maison_de_Anh-My_An_Da_Nang.html
"176 Nguyen Van Thoai 4, My An, Da Nang Vietnam",4,84,,,Hang Sand Masion Beach Hotel,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Hang Sand Masion Beach Hotel?, ,What are some restaurants close to Hang Sand Masion Beach Hotel?, ",,0,,0,,79,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21156609-Reviews-Hang_Sand_Masion_Beach_Hotel-My_An_Da_Nang.html
"51 Tran Bach Dang, My An, Da Nang Vietnam",1,69,,,Danang Beach Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Danang Beach Apartment?, ,What are some restaurants close to Danang Beach Apartment?, ",,0,,0,,13,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d15768127-Reviews-Danang_Beach_Apartment-My_An_Da_Nang.html
"Lot 31-32 Tran Bach Dang Street, My An, Da Nang 50507 Vietnam",8,78,,,Bellatoria Hotel Danang,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Bellatoria Hotel Danang?, ,What are some restaurants close to Bellatoria Hotel Danang?, ",,0,,0,,141,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d23545764-Reviews-Bellatoria_Hotel_Danang-My_An_Da_Nang.html
"78 Thach Lam, My An, Da Nang Vietnam",3,82,,,Xin Chao Apartment 3,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Xin Chao Apartment 3?, ,What are some restaurants close to Xin Chao Apartment 3?, ",,0,,0,,78,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21378126-Reviews-Xin_Chao_Apartment_3-My_An_Da_Nang.html
"32-34 An Thuong 3, My An, Da Nang 550000 Vietnam",9,78,,,Sunflower Ocean Da Nang,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Sunflower Ocean Da Nang?, ,What are some restaurants close to Sunflower Ocean Da Nang?, ",,0,,0,,155,,20,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21409466-Reviews-Sunflower_Ocean_Da_Nang-My_An_Da_Nang.html
,0,0,,,Nya Acadia,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,2.0 of 5 bubbles,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21409073-Reviews-Nya_Acadia-My_An_Da_Nang.html
"72/27 Nguy_n Van Tho_i,, My An, Da Nang 550000 Vietnam",2,78,,,Flower Beachstay & Coffee,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Flower Beachstay & Coffee?, ,What are some restaurants close to Flower Beachstay & Coffee?, ",,0,,0,,86,,10,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d23597327-Reviews-Flower_Beachstay_Coffee-My_An_Da_Nang.html
"32 An Thu_ng 36, My An, Da Nang Vietnam",6,78,,,Xin Chao Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Xin Chao Apartment?, ,What are some restaurants close to Xin Chao Apartment?, ",,0,,0,,163,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21334025-Reviews-Xin_Chao_Apartment-My_An_Da_Nang.html
"148 Ngu Hanh Son, My An, Da Nang Vietnam",11,53,,,I Hostel,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to I Hostel?, ,What are some restaurants close to I Hostel?, ",,0,,0,,50,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d19266854-Reviews-I_Hostel-My_An_Da_Nang.html
"Lo 17 An Thuong 29, Phuong My An, Quan Ngu Hanh Son, Thanh Pho Da Nang 8, My An, Da Nang 550000 Vietnam",7,78,,,Sea Swan Apartment and Hotel,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Sea Swan Apartment and Hotel?, ,What are some restaurants close to Sea Swan Apartment and Hotel?, ",,0,,0,,155,,20,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21106940-Reviews-Sea_Swan_Apartment_and_Hotel-My_An_Da_Nang.html
"44 Phan Liem Street, My An, Da Nang Vietnam",5,84,,,Pochinki Hotel & Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Pochinki Hotel & Apartment?, ,What are some restaurants close to Pochinki Hotel & Apartment?, ",,0,,0,,93,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21134364-Reviews-Pochinki_Hotel_Apartment-My_An_Da_Nang.html
"An Thuong 37, My An, Da Nang Vietnam",9,78,,,Do Thiet Hotel & Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Do Thiet Hotel & Apartment?, ,What are some restaurants close to Do Thiet Hotel & Apartment?, ",,0,,0,,150,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d17632399-Reviews-Do_Thiet_Hotel_Apartment-My_An_Da_Nang.html
"59 An Thuong 26, My An, Da Nang Vietnam",9,78,,,Windy Hotel,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Windy Hotel?, ,What are some restaurants close to Windy Hotel?, ",,0,,0,,154,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d17510104-Reviews-Windy_Hotel-My_An_Da_Nang.html
,0,0,,,Yuri Hotel,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d23518140-Reviews-Yuri_Hotel-My_An_Da_Nang.html
"270 Vo Nguyen Giap, My An, Da Nang Vietnam",3,76,,,HomeLand Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to HomeLand Apartment?, ,What are some restaurants close to HomeLand Apartment?, ",,0,,0,,27,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d15768460-Reviews-HomeLand_Apartment-My_An_Da_Nang.html
"Furama Villas, Vo Nguyen Giap St., My An, Da Nang Vietnam",3,75,,,Tropical Villas Beach Danang,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Tropical Villas Beach Danang?, ,What are some restaurants close to Tropical Villas Beach Danang?, ",,0,,0,5.0 of 5 bubbles,24,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21310190-Reviews-Tropical_Villas_Beach_Danang-My_An_Da_Nang.html
,0,0,,,Serene Beach Hotel Da Nang,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d23536553-Reviews-Serene_Beach_Hotel_Da_Nang-My_An_Da_Nang.html
,0,0,,,RedDoorz Plus Near My Khe Beach,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21290720-Reviews-RedDoorz_Plus_Near_My_Khe_Beach-My_An_Da_Nang.html
"An Hai Dong 1, My An, Da Nang Vietnam",2,84,,,Hotel Thien Ly,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Hotel Thien Ly?, ,What are some restaurants close to Hotel Thien Ly?, ",,0,,0,,74,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21503331-Reviews-Hotel_Thien_Ly-My_An_Da_Nang.html
"02 -03 Tran Bach Dang, My An, Da Nang 550000 Vietnam",8,78,,,Delfino Hotel & Spa,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Delfino Hotel & Spa?, ,What are some restaurants close to Delfino Hotel & Spa?, ",,0,,0,,152,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21003125-Reviews-Delfino_Hotel_Spa-My_An_Da_Nang.html
"270 Vo Nguyen Giap 40 Tang, My An, Da Nang Vietnam",8,93,,,Can Ho Cao Cap,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Can Ho Cao Cap?, ",,0,,0,,69,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d15768661-Reviews-Can_Ho_Cao_Cap-My_An_Da_Nang.html
"L20, An Thuong 29 Street, My An, Da Nang 550000 Vietnam",7,78,,,De Rome House Da Nang,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to De Rome House Da Nang?, ,What are some restaurants close to De Rome House Da Nang?, ",,0,,0,3.0 of 5 bubbles,183,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21007083-Reviews-De_Rome_House_Da_Nang-My_An_Da_Nang.html
,0,0,,,Aloha Aparteman,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d23362662-Reviews-Aloha_Aparteman-My_An_Da_Nang.html
"Kiet 24 Duong My Da Dong 12, My An, Da Nang Vietnam",5,78,,,Mango Mango Hotel & Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Mango Mango Hotel & Apartment?, ,What are some restaurants close to Mango Mango Hotel & Apartment?, ",,0,,0,,110,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21127199-Reviews-Mango_Mango_Hotel_Apartment-My_An_Da_Nang.html
,0,0,,,Hanigo Homestay 1,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d20317484-Reviews-Hanigo_Homestay_1-My_An_Da_Nang.html
,0,0,,,Danang Beach Apartments,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d22840413-Reviews-Danang_Beach_Apartments-My_An_Da_Nang.html
"280 Kinh Duong Vuong, Lien Chieu, Da Nang 550000 Vietnam",0,0,,,OYO 999 VIP Hostel,Lien Chieu,Vietnam,"Vietnam,Da Nang,Lien Chieu","Which popular attractions are close to OYO 999 VIP Hostel?, ,What are some restaurants close to OYO 999 VIP Hostel?, ,Is OYO 999 VIP Hostel located near the city center?, ",,0,,0,,0,,Lien Chieu,,0,https://www.tripadvisor.com/Hotel_Review-g16740551-d21367081-Reviews-OYO_999_VIP_Hostel-Lien_Chieu_Da_Nang.html
,0,0,,,Airy Art Apartment My Khe Beach,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21323847-Reviews-Airy_Art_Apartment_My_Khe_Beach-My_An_Da_Nang.html
"126 Chau Thi Vinh Te, My An, Da Nang Vietnam",1,72,,,Cozy Hotel & Apartment Danang,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Cozy Hotel & Apartment Danang?, ,What are some restaurants close to Cozy Hotel & Apartment Danang?, ",,0,,0,,59,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d17607966-Reviews-Cozy_Hotel_Apartment_Danang-My_An_Da_Nang.html
,0,0,,,7S Hotel Dong Bac Ocean Danang,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,40,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21590634-Reviews-7S_Hotel_Dong_Bac_Ocean_Danang-My_An_Da_Nang.html
,0,0,,,Ana Maison Hotel & Apartment,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d22862231-Reviews-Ana_Maison_Hotel_Apartment-My_An_Da_Nang.html
"70 Chau Thi Vinh Te, My An, Da Nang Vietnam",2,78,,,Cu Homestay & Coffee,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Cu Homestay & Coffee?, ,What are some restaurants close to Cu Homestay & Coffee?, ",,0,,0,,66,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d17638911-Reviews-Cu_Homestay_Coffee-My_An_Da_Nang.html
,0,0,,,OYO 1064 Phat Tai Hotel And Apartment,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,15,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21106283-Reviews-OYO_1064_Phat_Tai_Hotel_And_Apartment-My_An_Da_Nang.html
"163 Le Quang Dao, My An, Da Nang Vietnam",8,78,,,Mango Mini Hotel,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Mango Mini Hotel?, ,What are some restaurants close to Mango Mini Hotel?, ",,0,,0,,163,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21506454-Reviews-Mango_Mini_Hotel-My_An_Da_Nang.html
,0,0,,,Apartment 2 Bedroom With Ocean View,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21347631-Reviews-Apartment_2_Bedroom_With_Ocean_View-My_An_Da_Nang.html
,0,0,,,Tomato Apartment Danang,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d20183644-Reviews-Tomato_Apartment_Danang-My_An_Da_Nang.html
"38 Le Lo, Ngu Hanh Son, My An, Da Nang 550000 Vietnam",7,78,,,Nguyen Hotel Manage By Vnservices,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Nguyen Hotel Manage By Vnservices?, ,What are some restaurants close to Nguyen Hotel Manage By Vnservices?, ",,0,,0,,131,,32,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21106258-Reviews-Nguyen_Hotel_Manage_By_Vnservices-My_An_Da_Nang.html
,0,0,,,Twins Apartment,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,3.0 of 5 bubbles,0,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d23120632-Reviews-Twins_Apartment-My_An_Da_Nang.html
"09 An Thuong 33, My An, Da Nang Vietnam",9,78,,,Bespoke Beachfront Apartment,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Bespoke Beachfront Apartment?, ,What are some restaurants close to Bespoke Beachfront Apartment?, ",,0,,0,3.0 of 5 bubbles,159,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d21302066-Reviews-Bespoke_Beachfront_Apartment-My_An_Da_Nang.html
,0,0,,,Go Plus - Hotel & Apartment,My An,Vietnam,"Vietnam,Da Nang,My An",,,0,,0,,0,,15,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d20809692-Reviews-Go_Plus_Hotel_Apartment-My_An_Da_Nang.html
"176 Nguyen Van Thoai Tang 5, My An, Da Nang Vietnam",2,82,,,Hang Beach,My An,Vietnam,"Vietnam,Da Nang,My An","Which popular attractions are close to Hang Beach?, ,What are some restaurants close to Hang Beach?, ",,0,,0,,88,,My An,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d17657489-Reviews-Hang_Beach-My_An_Da_Nang.html
,0,0,,,The Now Boutique Danang,My An,Vietnam,"Vietnam,Da Nang,My An","What are some of the property amenities at The Now Boutique Danang?, ,What food & drink options are available at The Now Boutique Danang?, ",,1 review,#4 of 5 small hotels in My An,5,,0,Excellent,26,,0,https://www.tripadvisor.com/Hotel_Review-g15296807-d20208929-Reviews-The_Now_Boutique_Danang-My_An_Da_Nang.html
