HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
NA,NA,NA,NA,,,Mobile Home Ho Tram Pristine Beach,$94,$29,"$29, - ,$94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g11981259-d23366419-Reviews-Mobile_Home_Ho_Tram_Pristine_Beach-Thuan_An_Binh_Duong_Province.html
"44-46 Phan Boi Chau District 1, Ho Chi Minh City 700000 Vietnam",125,100,85,"English, Vietnamese",,A&Em Hotel 44-46 Phan Boi Chau,$53,$26,"$26, - ,$53","Which popular attractions are close to A&Em Hotel 44-46 Phan Boi Chau?, ,What are some of the property amenities at A&Em Hotel 44-46 Phan Boi Chau?, ,Which room amenities are available at A&Em Hotel 44-46 Phan Boi Chau?, ,What food & drink options are available at A&Em Hotel 44-46 Phan Boi Chau?, ,Is parking available at A&Em Hotel 44-46 Phan Boi Chau?, ,What are some restaurants close to A&Em Hotel 44-46 Phan Boi Chau?, ,Does A&Em Hotel 44-46 Phan Boi Chau have airport transportation?, ,Are any cleaning services offered at A&Em Hotel 44-46 Phan Boi Chau?, ,Which languages are spoken by the staff at A&Em Hotel 44-46 Phan Boi Chau?, ,Are there any historical sites close to A&Em Hotel 44-46 Phan Boi Chau?, ",40,126,"#245 of 1,555 hotels in Ho Chi Minh City",35,30,467,Very good,51,Centrally Located,,5,https://www.tripadvisor.com/Hotel_Review-g293925-d2545318-Reviews-A_Em_Hotel_44_46_Phan_Boi_Chau-Ho_Chi_Minh_City.html
"C, Thuan An Vietnam",NA,NA,NA,,,nha nghi Hoa Anh Dao,Thuan An,Vietnam,"Vietnam,Binh Duong Province,Thuan An","Which popular attractions are close to nha nghi Hoa Anh Dao?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g11981259-d23258800-Reviews-Nha_nghi_Hoa_Anh_Dao-Thuan_An_Binh_Duong_Province.html
"44/17 Du_ng Le Th_ Trung, Thuan An Vietnam",NA,NA,NA,,,De Nhat Hotel,Thuan An,Vietnam,"Vietnam,Binh Duong Province,Thuan An","Which popular attractions are close to De Nhat Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g11981259-d23516763-Reviews-De_Nhat_Hotel-Thuan_An_Binh_Duong_Province.html
NA,NA,NA,NA,,,HOTEL Truong Long,Thuan An,Vietnam,"Vietnam,Binh Duong Province,Thuan An",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g11981259-d21364492-Reviews-HOTEL_Truong_Long-Thuan_An_Binh_Duong_Province.html
"175 Khu Pho Dong Ba Khu Pho Bingh Giao, Thuan An Vietnam",NA,NA,NA,,,Nha Hang Khach San Pham Van Sakura,Thuan An,Vietnam,"Vietnam,Binh Duong Province,Thuan An","Which popular attractions are close to Nha Hang Khach San Pham Van Sakura?, ,What are some restaurants close to Nha Hang Khach San Pham Van Sakura?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g11981259-d21176565-Reviews-Nha_Hang_Khach_San_Pham_Van_Sakura-Thuan_An_Binh_Duong_Province.html
NA,NA,NA,NA,,,Nha Nghi Tung Thuy dinh Thay Thim,Thuan An,Vietnam,"Vietnam,Binh Duong Province,Thuan An",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g11981259-d23368031-Reviews-Nha_Nghi_Tung_Thuy_dinh_Thay_Thim-Thuan_An_Binh_Duong_Province.html
NA,NA,NA,NA,,,Shala Boutique Hoian,Thuan An,Vietnam,"Vietnam,Binh Duong Province,Thuan An",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g11981259-d23170559-Reviews-Shala_Boutique_Hoian-Thuan_An_Binh_Duong_Province.html
NA,NA,NA,NA,,,Nha nghi Loc Thien,Thuan An,Vietnam,"Vietnam,Binh Duong Province,Thuan An",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g11981259-d23238042-Reviews-Nha_nghi_Loc_Thien-Thuan_An_Binh_Duong_Province.html
"Duong Nguyen Chi Thanh Phuong Muong Thanh So Nha 53 To Dan Pho 11, Dien Bien Phu Vietnam",2,46,NA,,,Nha Nghi 555,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Nha Nghi 555?, ,What are some restaurants close to Nha Nghi 555?, ",NA,NA,NA,NA,NA,12,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d17458390-Reviews-Nha_Nghi_555-Dien_Bien_Phu_Dien_Bien_Province.html
"So 31, To 13, Phuong Muong Thanh, Dien Bien Phu Vietnam",3,45,NA,,,Bao Chau Hotel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Bao Chau Hotel?, ,What are some restaurants close to Bao Chau Hotel?, ",NA,NA,NA,NA,NA,11,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d19683089-Reviews-Bao_Chau_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html
"S_ Nhai 46 To 3 ( Chan Tu_ng Dai Chi_n Th_ng) Nha 4 T_ng, Dien Bien Phu Vietnam",2,43,NA,,,NHA NGHỈ 46,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to NHÀ NGHỈ 46?, ,What are some restaurants close to NHÀ NGHỈ 46?, ",NA,NA,NA,NA,NA,12,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d23169212-Reviews-NHA_NGH_46-Dien_Bien_Phu_Dien_Bien_Province.html
"A2.3 Hoang Sa Street Tho Quang Ward, Son Tra District, Da Nang 550000 Vietnam",1,39,156,"English, Vietnamese",,The Code Hotel & Spa,$65,$31,"$31, - ,$65","Which popular attractions are close to The Code Hotel & Spa?, ,What are some of the property amenities at The Code Hotel & Spa?, ,Which room amenities are available at The Code Hotel & Spa?, ,What food & drink options are available at The Code Hotel & Spa?, ,Is parking available at The Code Hotel & Spa?, ,What are some restaurants close to The Code Hotel & Spa?, ,Are there opportunities to exercise at The Code Hotel & Spa?, ,Does The Code Hotel & Spa have airport transportation?, ,Are any cleaning services offered at The Code Hotel & Spa?, ,Are pets allowed at The Code Hotel & Spa?, ,Does The Code Hotel & Spa offer any business services?, ",53,126,#22 of 900 hotels in Da Nang,50,30,17,Excellent,110,Romantic,,20,https://www.tripadvisor.com/Hotel_Review-g298085-d16820992-Reviews-The_Code_Hotel_Spa-Da_Nang.html
"Khu Dan Cu Vinh Phu 2, Thuan An Vietnam",NA,NA,NA,,,Dang Khoi Hotel,Thuan An,Vietnam,"Vietnam,Binh Duong Province,Thuan An","Which popular attractions are close to Dang Khoi Hotel?, ,What are some restaurants close to Dang Khoi Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g11981259-d21504524-Reviews-Dang_Khoi_Hotel-Thuan_An_Binh_Duong_Province.html
"No.12 Nguyen Chi Thanh, group 12, Muong Thanh ward, Dien Bien Phu Vietnam",2,46,NA,,,Hai Anh 1 guest house,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Hai Anh 1 guest house?, ,What are some restaurants close to Hai Anh 1 guest house?, ",NA,NA,NA,NA,NA,12,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d15276062-Reviews-Hai_Anh_1_guest_house-Dien_Bien_Phu_Dien_Bien_Province.html
NA,NA,NA,NA,,,Nha Nghi Phuong Hien,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu",NA,NA,1,#7 of 22 Specialty lodging in Dien Bien Phu,10,NA,NA,Terrible,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d14039217-Reviews-Nha_Nghi_Phuong_Hien-Dien_Bien_Phu_Dien_Bien_Province.html
NA,NA,NA,NA,,,Hotel Chau Khanh,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d19907448-Reviews-Hotel_Chau_Khanh-Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Binh Long Hotel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d2706199-Reviews-Binh_Long_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html
NA,NA,NA,NA,,,Tuong Thanh Hotel,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d19513421-Reviews-Tuong_Thanh_Hotel-Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Hoang Le Hotel,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g23178715-d23208755-Reviews-Hoang_Le_Hotel-Hai_Tien_Dao_Co_To_Quang_Ninh_Province.html
"No 19, Group 12, Muong Thanh Ward, Dien Bien Phu Vietnam",2,46,NA,,,Bao An Hotel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Bao An Hotel?, ,What are some of the property amenities at Bao An Hotel?, ,Which room amenities are available at Bao An Hotel?, ,What food & drink options are available at Bao An Hotel?, ,Is parking available at Bao An Hotel?, ,What are some restaurants close to Bao An Hotel?, ,Are there any historical sites close to Bao An Hotel?, ",NA,2,#7 of 14 B&Bs / Inns in Dien Bien Phu,20,NA,12,Poor,21,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d9873824-Reviews-Bao_An_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html
NA,NA,NA,NA,,,Thanh Mang Hotel,$18,$17,"$17, - ,$18",NA,NA,NA,NA,NA,NA,NA,NA,33,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g15292527-d21301213-Reviews-Thanh_Mang_Hotel-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Homestay Hung Lam,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g15292527-d19722420-Reviews-Homestay_Hung_Lam-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html
"No 878 Vo Nguyen Giap Street Tan Thanh Ward, Dien Bien Phu 320000 Vietnam",5,36,NA,,,Cong Doan Dien Bien Hotel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Cong Doan Dien Bien Hotel?, ,What are some of the property amenities at Cong Doan Dien Bien Hotel?, ,What are some restaurants close to Cong Doan Dien Bien Hotel?, ",NA,2,#6 of 10 hotels in Dien Bien Phu,35,NA,13,Very good,70,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d7257087-Reviews-Cong_Doan_Dien_Bien_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html
NA,NA,NA,NA,,,DuyHoang Hotel,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g15292527-d21212000-Reviews-DuyHoang_Hotel-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html
Dao Co To Vietnam,NA,NA,NA,,,Nha Nghi Minh Trang,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d15608656-Reviews-Nha_Nghi_Minh_Trang-Dao_Co_To_Quang_Ninh_Province.html
"Khu 2 Thi tran Co To, Dao Co To Vietnam",NA,NA,NA,,,Hai Duong Hotel Co To,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d14021739-Reviews-Hai_Duong_Hotel_Co_To-Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Coto Ocean Hotel,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g15292527-d23151066-Reviews-Coto_Ocean_Hotel-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html
"Area 4, Co To Town, Dao Co To Vietnam",NA,NA,NA,Vietnamese,,Tuan Vu Hotel,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To","Which popular attractions are close to Tuan Vu Hotel?, ,What are some of the property amenities at Tuan Vu Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d12551240-Reviews-Tuan_Vu_Hotel-Dao_Co_To_Quang_Ninh_Province.html
"Thon H_i ti_n, Va d_ng Ti_n, Huy_n Co To, Hai Tien, Dao Co To 01408 Vietnam",NA,NA,NA,,,Co To Homestay 368,$31,$18,"$18, - ,$31","Which popular attractions are close to Cô Tô Homestay 368?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g23178715-d23170433-Reviews-Co_To_Homestay_368-Hai_Tien_Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Co To Village,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To","What are some of the property amenities at Co To Village?, ,What food & drink options are available at Co To Village?, ,Is parking available at Co To Village?, ,Does Co To Village have an airport shuttle?, ",NA,NA,NA,NA,NA,NA,NA,25,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g15292527-d17181265-Reviews-Co_To_Village-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Homestay Co To Thanh Nguyet,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d15058738-Reviews-Homestay_Co_To_Thanh_Nguyet-Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Chung Vu Homestay,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To","What are some of the property amenities at Chung Vu Homestay?, ,What food & drink options are available at Chung Vu Homestay?, ",NA,NA,NA,NA,NA,NA,NA,20,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g15292527-d17702766-Reviews-Chung_Vu_Homestay-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,CoTo Dragon Beach,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d17521416-Reviews-CoTo_Dragon_Beach-Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Minh Huy Hotel,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To","What are some of the property amenities at Minh Huy Hotel?, ,What food & drink options are available at Minh Huy Hotel?, ,Is parking available at Minh Huy Hotel?, ",NA,NA,NA,NA,NA,NA,NA,21,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g15292527-d17325103-Reviews-Minh_Huy_Hotel-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html
"TL20, Son Trach, Bo Trach, Son Trach Vietnam",NA,NA,NA,Vietnamese,,Pho Nui Hotel,Son Trach,Vietnam,"Vietnam,Quang Binh Province,Son Trach","Which popular attractions are close to Pho Nui Hotel?, ,What are some of the property amenities at Pho Nui Hotel?, ,Is parking available at Pho Nui Hotel?, ,What are some restaurants close to Pho Nui Hotel?, ,Does Pho Nui Hotel have an airport shuttle?, ,Does Pho Nui Hotel have airport transportation?, ",NA,NA,NA,NA,NA,NA,NA,6,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12654020-d9777549-Reviews-Pho_Nui_Hotel-Son_Trach_Quang_Binh_Province.html
"Phong Nha, Son Trach Vietnam",2,45,NA,English,,Andy's Backpacker Hostel,Son Trach,Vietnam,"Vietnam,Quang Binh Province,Son Trach","Which popular attractions are close to Andy's Backpacker Hostel?, ,What are some of the property amenities at Andy's Backpacker Hostel?, ,What food & drink options are available at Andy's Backpacker Hostel?, ,Is parking available at Andy's Backpacker Hostel?, ,What are some restaurants close to Andy's Backpacker Hostel?, ",NA,NA,NA,NA,NA,17,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12654020-d13368897-Reviews-Andy_s_Backpacker_Hostel-Son_Trach_Quang_Binh_Province.html
"Bo Trach District, Son Trach Vietnam",NA,NA,NA,,,Sondoong homestay,Son Trach,Vietnam,"Vietnam,Quang Binh Province,Son Trach","Which popular attractions are close to Sondoong homestay?, ",NA,NA,NA,NA,NA,NA,NA,3,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12654020-d14927904-Reviews-Sondoong_homestay-Son_Trach_Quang_Binh_Province.html
"C_u Xuan Son, Son Trach Vietnam",NA,NA,NA,,,The Hill Villas,$21,$14,"$14, - ,$21","Which popular attractions are close to The Hill Villas?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12654020-d23336616-Reviews-The_Hill_Villas-Son_Trach_Quang_Binh_Province.html
"Vo Nguyen Giap 876 Block 4 - Tan Thanh, Dien Bien Phu 380000 Vietnam",NA,NA,NA,,,Tada Hostel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Tada Hostel?, ,What are some restaurants close to Tada Hostel?, ",NA,4,#2 of 22 Specialty lodging in Dien Bien Phu,45,NA,NA,Excellent,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d13853787-Reviews-Tada_Hostel-Dien_Bien_Phu_Dien_Bien_Province.html
"Lo Van Hac So 8, Dien Bien Phu Vietnam",2,42,NA,,,Khach San Nhu Ngoc,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Khach San Nhu Ngoc?, ,What are some restaurants close to Khach San Nhu Ngoc?, ",NA,NA,NA,NA,NA,10,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d20100339-Reviews-Khach_San_Nhu_Ngoc-Dien_Bien_Phu_Dien_Bien_Province.html
"Duong so 25 25, Ha Tien Vietnam",NA,NA,NA,,,Hotel Ngoc Ha,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Hotel Ngoc Ha?, ,What are some restaurants close to Hotel Ngoc Ha?, ,Is Hotel Ngoc Ha located near the city center?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635529-d15517449-Reviews-Hotel_Ngoc_Ha-Ha_Tien_Kien_Giang_Province.html
"No. 488 Group 21, Vo Nguyen Giap Street Him Lam Ward, Dien Bien Phu Vietnam",NA,NA,NA,"English, Chinese, Thai, Vietnamese",,Hai Van Hotel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Hai Van Hotel?, ,What are some of the property amenities at Hai Van Hotel?, ,Is parking available at Hai Van Hotel?, ,What are some restaurants close to Hai Van Hotel?, ,Does Hai Van Hotel have airport transportation?, ,Which languages are spoken by the staff at Hai Van Hotel?, ",NA,1,#5 of 22 Specialty lodging in Dien Bien Phu,30,NA,NA,Average,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d9779101-Reviews-Hai_Van_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html
"262, Group 29 Muong Thanh Ward, Dien Bien Phu Vietnam",3,43,NA,,,Diep Linh Hotel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Diep Linh Hotel?, ,What are some restaurants close to Diep Linh Hotel?, ",NA,NA,NA,NA,NA,12,NA,21,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d10891062-Reviews-Diep_Linh_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html
"Group 12, Muong Thanh Ward, Dien Bien Phu Vietnam",2,46,NA,,,Nam Rom Hotel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Nam Rom Hotel?, ,What are some of the property amenities at Nam Rom Hotel?, ,Is parking available at Nam Rom Hotel?, ,What are some restaurants close to Nam Rom Hotel?, ",NA,NA,NA,NA,NA,12,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d10901880-Reviews-Nam_Rom_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html
"No. 20, Nguyen Chi Thanh Street Muong Thanh Ward, Dien Bien Phu Vietnam",5,43,NA,,,Hai Anh 2 Guest House,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Hai Anh 2 Guest House?, ,What food & drink options are available at Hai Anh 2 Guest House?, ,What are some restaurants close to Hai Anh 2 Guest House?, ",NA,NA,NA,NA,NA,13,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d11697036-Reviews-Hai_Anh_2_Guest_House-Dien_Bien_Phu_Dien_Bien_Province.html
"02, Group 4, Thanh Binh Ward, Dien Bien Phu Vietnam",2,43,NA,"English, Vietnamese",,Tuan Minh Guest House,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Tuan Minh Guest House?, ,What are some of the property amenities at Tuan Minh Guest House?, ,Which room amenities are available at Tuan Minh Guest House?, ,Is parking available at Tuan Minh Guest House?, ,What are some restaurants close to Tuan Minh Guest House?, ,Does Tuan Minh Guest House have an airport shuttle?, ,Which languages are spoken by the staff at Tuan Minh Guest House?, ",NA,3,#6 of 22 Specialty lodging in Dien Bien Phu,30,NA,12,Average,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d11713881-Reviews-Tuan_Minh_Guest_House-Dien_Bien_Phu_Dien_Bien_Province.html
NA,NA,NA,NA,,,The One Hotel - Ca Mau,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province","What are some of the property amenities at The One Hotel - Cà Mau?, ,What food & drink options are available at The One Hotel - Cà Mau?, ,Is parking available at The One Hotel - Cà Mau?, ",NA,NA,NA,NA,NA,NA,NA,37,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d21121593-Reviews-The_One_Hotel_Ca_Mau-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
"153 Mac Thien Tich Binh San Ward, Ha Tien Vietnam",6,43,NA,,,Ngoc Yen Hotel,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Ngoc Yen Hotel?, ,What are some restaurants close to Ngoc Yen Hotel?, ,Is Ngoc Yen Hotel located near the city center?, ",NA,2,#10 of 20 Specialty lodging in Ha Tien,10,NA,7,Terrible,20,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635529-d9797533-Reviews-Ngoc_Yen_Hotel-Ha_Tien_Kien_Giang_Province.html
NA,NA,NA,NA,,,Luong Quoc Tuan,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d21295771-Reviews-Luong_Quoc_Tuan-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
NA,NA,NA,NA,,,Dong A hotel,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d7257095-Reviews-Dong_A_hotel-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
"To 3, Khu Pho 3, Phao Dai Ward, Ha Tien Vietnam",6,37,NA,Vietnamese,,Ta Pang Guesthouse,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Ta Pang Guesthouse?, ,Which room amenities are available at Ta Pang Guesthouse?, ,What are some restaurants close to Ta Pang Guesthouse?, ,Is Ta Pang Guesthouse located near the city center?, ",NA,NA,NA,NA,NA,7,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635529-d12259174-Reviews-Ta_Pang_Guesthouse-Ha_Tien_Kien_Giang_Province.html
"Xa D_t Mui, Ca Mau Vietnam",NA,NA,NA,,,Dất Mui Ca Mau,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d23343133-Reviews-D_t_Mui_Ca_Mau-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
"Hamlet 9, Phuoc Long Village, Giong Trom Dist., Ben Tre 930000 Vietnam",NA,NA,285,,,Mekong Home,$74,$60,"$60, - ,$74","What are some of the property amenities at Mekong Home?, ,What food & drink options are available at Mekong Home?, ,Is parking available at Mekong Home?, ,What are some restaurants close to Mekong Home?, ,Does Mekong Home have airport transportation?, ",74,126,#1 of 29 Specialty lodging in Ben Tre,50,25,NA,Excellent,10,"Romantic,Family",,53,https://www.tripadvisor.com/Hotel_Review-g737085-d12384791-Reviews-Mekong_Home-Ben_Tre_Ben_Tre_Province_Mekong_Delta.html
"Duong Hoang Van Thu 48 Le Quang Dinh, Ha Tien Vietnam",6,45,NA,,,Hai Loan Motel,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Hai Loan Motel?, ,What are some restaurants close to Hai Loan Motel?, ,Is Hai Loan Motel located near the city center?, ,Are there any historical sites close to Hai Loan Motel?, ",NA,NA,NA,NA,NA,7,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635529-d13798230-Reviews-Hai_Loan_Motel-Ha_Tien_Kien_Giang_Province.html
NA,NA,NA,NA,,,Khach san Anh Trang,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d23282840-Reviews-Khach_san_Anh_Trang-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
